fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,2214 - COMMITTEE ON BUDGET/GOVNTL OPS,100,CONTRACTUAL SERVICES,15000,15000,15000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,2214 - COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,15000,15000,15000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,2214 - COMMITTEE ON BUDGET/GOVNTL OPS,0,PERSONNEL SERVICES,508750,468750,468750
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2215,2215 - COMMITTEE ON PARKS/RECREATION,100,CONTRACTUAL SERVICES,200,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2215,2215 - COMMITTEE ON PARKS/RECREATION,300,COMMODITIES AND MATERIALS,300,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2215,2215 - COMMITTEE ON PARKS/RECREATION,700,CONTINGENCIES,500,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2215,2215 - COMMITTEE ON PARKS/RECREATION,0,PERSONNEL SERVICES,87948,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2217,2217 - COMM ON CULT HIST LANDMK PRESV,300,COMMODITIES AND MATERIALS,1500,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2217,2217 - COMM ON CULT HIST LANDMK PRESV,700,CONTINGENCIES,1500,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2217,2217 - COMM ON CULT HIST LANDMK PRESV,0,PERSONNEL SERVICES,115819,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2220,2220 - COMMITTEE ON AVIATION,100,CONTRACTUAL SERVICES,200,200,200
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2220,2220 - COMMITTEE ON AVIATION,300,COMMODITIES AND MATERIALS,500,500,500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2220,2220 - COMMITTEE ON AVIATION,700,CONTINGENCIES,750,750,750
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2220,2220 - COMMITTEE ON AVIATION,0,PERSONNEL SERVICES,107843,102843,102843
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2225,2225 - COMMITTEE ON LICENSES,300,COMMODITIES AND MATERIALS,500,500,500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2225,2225 - COMMITTEE ON LICENSES,100,CONTRACTUAL SERVICES,2500,17500,17500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2225,2225 - COMMITTEE ON LICENSES,0,PERSONNEL SERVICES,122081,102081,102081
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2235,2235 - COMMITTEE ON PUBLIC SAFETY,700,CONTINGENCIES,500,500,500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2235,2235 - COMMITTEE ON PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2235,2235 - COMMITTEE ON PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2235,2235 - COMMITTEE ON PUBLIC SAFETY,0,PERSONNEL SERVICES,129289,119289,119289
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2240,2240 - COMM ON HEALTH AND ENVIRONMENT,100,CONTRACTUAL SERVICES,200,200,200
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2240,2240 - COMM ON HEALTH AND ENVIRONMENT,700,CONTINGENCIES,500,500,500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2240,2240 - COMM ON HEALTH AND ENVIRONMENT,300,COMMODITIES AND MATERIALS,800,800,800
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2240,2240 - COMM ON HEALTH AND ENVIRONMENT,0,PERSONNEL SERVICES,90670,87670,87670
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2245,2245 - COMMITTEE ON COMMT RULES ETHIC,300,COMMODITIES AND MATERIALS,500,500,500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2245,2245 - COMMITTEE ON COMMT RULES ETHIC,100,CONTRACTUAL SERVICES,2000,2000,2000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2245,2245 - COMMITTEE ON COMMT RULES ETHIC,0,PERSONNEL SERVICES,172960,157960,157960
