fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
GRANTS,0P19,US DEPT OF JUSTICE,57,DEPARTMENT OF POLICE,2984,2984 - CRIMINAL JUSTICE RESEARCH,181,MOBILE COMM SERVICES,0,0,4000
GRANTS,0P19,US DEPT OF JUSTICE,57,DEPARTMENT OF POLICE,2984,2984 - CRIMINAL JUSTICE RESEARCH,340,MATERIAL AND SUPPLIES,0,0,5000
GRANTS,0P19,US DEPT OF JUSTICE,57,DEPARTMENT OF POLICE,2984,2984 - CRIMINAL JUSTICE RESEARCH,245,REIMBURSEMENT TRAVELERS,0,0,19000
GRANTS,0P19,US DEPT OF JUSTICE,57,DEPARTMENT OF POLICE,2984,2984 - CRIMINAL JUSTICE RESEARCH,801,INDIRECT COSTS,0,0,30000
GRANTS,0P19,US DEPT OF JUSTICE,57,DEPARTMENT OF POLICE,2984,2984 - CRIMINAL JUSTICE RESEARCH,140,PROF & TECHNICAL SERVICES,0,0,429000
GRANTS,0P20,IL DEPT OF COMMERCE,70,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,15,SCHEDULE SALARY ADJ,0,0,2075
GRANTS,0P20,IL DEPT OF COMMERCE,70,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,140,PROF & TECHNICAL SERVICES,415000,415000,12558
GRANTS,0P20,IL DEPT OF COMMERCE,70,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,44,FRINGE BENEFITS,0,0,108806
GRANTS,0P20,IL DEPT OF COMMERCE,70,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,5,SALARIES AND WAGES - ON PAYROLL,0,0,290561
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2803,2803 - FRIENDS OF ANIMAL CARE CONTROL,140,PROF & TECHNICAL SERVICES,634,634,3492
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2803,2803 - FRIENDS OF ANIMAL CARE CONTROL,44,FRINGE BENEFITS,20989,20989,20572
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2803,2803 - FRIENDS OF ANIMAL CARE CONTROL,5,SALARIES AND WAGES - ON PAYROLL,57377,57377,54936
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,140,PROF & TECHNICAL SERVICES,979,979,0
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,15,SCHEDULE SALARY ADJ,2492,2492,0
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,44,FRINGE BENEFITS,48888,48888,0
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,5,SALARIES AND WAGES - ON PAYROLL,133641,133641,0
GRANTS,0P27,SMALL BUSINESS ADMIN GRANT,54,HOUSING AND ECONOMIC DEVELOPMT,2802,2802 - FORMERLY INCARCERATED PROGRAM,140,PROF & TECHNICAL SERVICES,282000,282000,79000
GRANTS,0P28,BYRNE JUSTICE ASSISTANCE,57,DEPARTMENT OF POLICE,2931,2931 - BYRNE JUSTICE ASSISTANCE,450,VEHICLES,1132000,1132000,70000
GRANTS,0P28,BYRNE JUSTICE ASSISTANCE,57,DEPARTMENT OF POLICE,2931,2931 - BYRNE JUSTICE ASSISTANCE,6,SALARY PROVISION,209000,209000,72000
GRANTS,0P28,BYRNE JUSTICE ASSISTANCE,57,DEPARTMENT OF POLICE,2931,2931 - BYRNE JUSTICE ASSISTANCE,423,COMMUNICATION DEVICES,0,0,110000
GRANTS,0P28,BYRNE JUSTICE ASSISTANCE,57,DEPARTMENT OF POLICE,2931,2931 - BYRNE JUSTICE ASSISTANCE,135,DELEGATE AGENCIES,0,0,403000
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,38,FLEET AND FACILITY MANAGEMENT,2842,2842 - ENERGY EFFICIENCY AGGREGATION,801,INDIRECT COSTS,0,0,80000
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,38,FLEET AND FACILITY MANAGEMENT,2842,2842 - ENERGY EFFICIENCY AGGREGATION,999,CULURL PROG/DELVP GRANT,0,0,320000
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,38,FLEET AND FACILITY MANAGEMENT,2842,2842 - ENERGY EFFICIENCY AGGREGATION,140,PROF & TECHNICAL SERVICES,0,0,6084000
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,72,DEPARTMENT OF ENVIRONMENT,2959,2959 - ELECTRIC CAR CHARGING STATIONS,801,INDIRECT COSTS,104300,104300,0
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,72,DEPARTMENT OF ENVIRONMENT,2959,2959 - ELECTRIC CAR CHARGING STATIONS,140,PROF & TECHNICAL SERVICES,938700,938700,0
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,84,CHICAGO DEPT OF TRANSPORTATION,2957,2957 - PLUG-IN ELECTRIC VEHICLE,801,INDIRECT COSTS,0,0,104300
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,84,CHICAGO DEPT OF TRANSPORTATION,2957,2957 - PLUG-IN ELECTRIC VEHICLE,140,PROF & TECHNICAL SERVICES,0,0,938700
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,84,CHICAGO DEPT OF TRANSPORTATION,2959,2959 - PERMEABLE PARKING LOT,340,MATERIAL AND SUPPLIES,0,0,12150
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,84,CHICAGO DEPT OF TRANSPORTATION,2959,2959 - PERMEABLE PARKING LOT,140,PROF & TECHNICAL SERVICES,0,0,287850
GRANTS,0P29,DEPT. OF ENVIRONMENT STATE GRANTS,84,CHICAGO DEPT OF TRANSPORTATION,2963,2963 - BIG MARSH INVASIVES,140,PROF & TECHNICAL SERVICES,0,0,50000
GRANTS,0P30,U.S. DOL GRANTS,50,FAMILY AND SUPPORT SERVICES,2908,2908 - HIGH SPEED INTERNET ACCESS,135,DELEGATE AGENCIES,89000,89000,89000
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,70,TUITION REIMBURSEMENT,3600,3600,0
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,982,EXP FOR HEROSIM,90,90,90
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,172,INSURANCE PREMIUMS,200,200,200
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,162,REPAIR/MAINT EQUIPMENT,220,220,220
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,186,PAGERS,500,500,500
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,446,PURCHASE-DATA HARDWARE,500,500,500
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,6,SALARY PROVISION,0,0,120000
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,150,PUBLICATN & REPRODT-OUT,625,625,625
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,270,LOCAL TRANSPORTATION,659,659,659
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,130,POSTAGE,1166,1166,1166
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,330,FOOD,2400,2400,2400
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,350,STATIONERY AND OFFICE SUPPL,2440,2440,2440
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,245,REIMBURSEMENT TRAVELERS,2600,2600,2600
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2803,2803 - STATE SENIOR COMPANION MATCH,165,GRAPHIC DESIGN SERV,29000,29000,32600
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2815,2815 - FOSTER GRANDPARENTS,15,SCHEDULE SALARY ADJ,1012,1012,1393
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2815,2815 - FOSTER GRANDPARENTS,44,FRINGE BENEFITS,194466,194466,161772
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2815,2815 - FOSTER GRANDPARENTS,5,SALARIES AND WAGES - ON PAYROLL,203600,368522,400835
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2818,2818 - STATE FOSTER GRANDPARENTS,50,STIPENDS,32000,32000,32000
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2868,2868 - SENIOR COMPANION PJT - ACTION,9651,REIMREIMB CORP,0,0,5940
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2868,2868 - SENIOR COMPANION PJT - ACTION,140,PROF & TECHNICAL SERVICES,0,0,23146
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2868,2868 - SENIOR COMPANION PJT - ACTION,44,FRINGE BENEFITS,105776,105776,72813
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2868,2868 - SENIOR COMPANION PJT - ACTION,5,SALARIES AND WAGES - ON PAYROLL,100396,191224,195101
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2925,2925 - FOSTER GRANDPARENTS,801,INDIRECT COSTS,0,0,11000
GRANTS,0P36,DFSS - FEDERAL - FGP/SCP,50,FAMILY AND SUPPORT SERVICES,2925,2925 - FOSTER GRANDPARENTS,140,PROF & TECHNICAL SERVICES,220000,220000,229000
GRANTS,0P37,TITLE VPG,50,FAMILY AND SUPPORT SERVICES,2807,2807 - OAA TITLE V SEN EMPLOYMENT SPE,140,PROF & TECHNICAL SERVICES,0,0,34848
GRANTS,0P37,TITLE VPG,50,FAMILY AND SUPPORT SERVICES,2807,2807 - OAA TITLE V SEN EMPLOYMENT SPE,44,FRINGE BENEFITS,357627,357627,166529
GRANTS,0P37,TITLE VPG,50,FAMILY AND SUPPORT SERVICES,2807,2807 - OAA TITLE V SEN EMPLOYMENT SPE,5,SALARIES AND WAGES - ON PAYROLL,290373,290373,446623
GRANTS,0P37,TITLE VPG,50,FAMILY AND SUPPORT SERVICES,2862,2862 - STATE SENIOR EMPLOYMENT SPEC,140,PROF & TECHNICAL SERVICES,20000,20000,20000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,15,SCHEDULE SALARY ADJ,737,737,0
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,270,LOCAL TRANSPORTATION,816,816,0
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,445,TECH AND SCIENTIFIC EQUIP,4500,4500,0
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,9651,REIMREIMB CORP,26394,26394,6520
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,44,FRINGE BENEFITS,39605,39605,28365
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,5,SALARIES AND WAGES - ON PAYROLL,108263,108263,75747
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2825,2825 - CIRCUIT BREAKER/ PHARMACEUTICL,140,PROF & TECHNICAL SERVICES,145685,145685,215368
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2836,2836 - LONG TERM CARE OMBUDSMAN,140,PROF & TECHNICAL SERVICES,51000,51000,107000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2843,2843 - FLEXIBLE SENIOR SERVICES,140,PROF & TECHNICAL SERVICES,32000,32000,32000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2846,2846 - ELDER ABUSE AND NEGLECT,140,PROF & TECHNICAL SERVICES,1900000,1900000,2000000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2919,2919 - MONEY FOLLOWS THE PERSON,140,PROF & TECHNICAL SERVICES,45000,45000,50000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2928,2928 - SENIOR HEALTH INSURANCE PGM,140,PROF & TECHNICAL SERVICES,11000,11000,21000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2932,2932 - RELATIVES RAISING CHILDREN,140,PROF & TECHNICAL SERVICES,0,0,100000
GRANTS,0P38,DEPARTMENT ON AGING GRANTS,50,FAMILY AND SUPPORT SERVICES,2937,2937 - MEDICARE IMPROVEMENTS,140,PROF & TECHNICAL SERVICES,144000,144000,144000
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,340,MATERIAL AND SUPPLIES,0,0,3000
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,423,COMMUNICATION DEVICES,0,0,3000
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,245,REIMBURSEMENT TRAVELERS,0,0,10000
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,801,INDIRECT COSTS,0,0,44504
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,20,OVERTIME,0,0,64000
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,446,PURCHASE-DATA HARDWARE,0,0,72000
GRANTS,0P39,FEDERAL U.S. DOJ,57,DEPARTMENT OF POLICE,2982,2982 - SMART POLICING INNOVATION,140,PROF & TECHNICAL SERVICES,0,0,238496
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2801,2801 - OAA NUTRITION PGM INCOME,140,PROF & TECHNICAL SERVICES,798000,798000,930000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,430,LIVESTOCK,53000,53000,53000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2802,2802 - OAA NUTRITION PGM INC - HM DEV,140,PROF & TECHNICAL SERVICES,927000,927000,618000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,424,FURNITURE AND FURNISHINGS,16000,16000,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,445,TECH AND SCIENTIFIC EQUIP,20800,20800,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,348,BOOKS AND RELATED MTL,1414,1414,1414
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,229,TRAN/EXP ALLOWANCE,3000,3000,3000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,166,DUES  SUBSC & MEM,3200,3200,3200
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,169,TECHNICAL MEETING COSTS,3371,3371,3371
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,130,POSTAGE,5000,5000,5000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,186,PAGERS,5000,5000,5000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,150,PUBLICATN & REPRODT-OUT,8000,8000,8000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,191,TELEPHONE-RELOCATIONS,9600,9600,9600
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,162,REPAIR/MAINT EQUIPMENT,11200,11200,11200
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,350,STATIONERY AND OFFICE SUPPL,4000,4000,34000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,44,FRINGE BENEFITS,79325,79325,85329
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,5,SALARIES AND WAGES - ON PAYROLL,212418,216843,227863
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2903,2903 - AREA PLAN ON AGING - STATE,140,PROF & TECHNICAL SERVICES,3113247,3113247,3103023
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-137207,-137207,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,178,FREIGHT/EXPENSE CHARGES,1064,1064,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,126,OFFICE CONVENIENCES,2514,2514,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,245,REIMBURSEMENT TRAVELERS,4716,4716,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,348,BOOKS AND RELATED MTL,9880,9880,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,70,TUITION REIMBURSEMENT,18557,18557,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,445,TECH AND SCIENTIFIC EQUIP,25377,25377,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,424,FURNITURE AND FURNISHINGS,60830,60830,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,340,MATERIAL AND SUPPLIES,64002,64002,0
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,186,PAGERS,81184,81184,1500
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,350,STATIONERY AND OFFICE SUPPL,91384,91384,6336
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,169,TECHNICAL MEETING COSTS,8479,8479,8479
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,125,OFF AND BUILDING SERV,6796,6796,9310
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,39,STUDENT AS TRAINEES,10000,10000,10000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,166,DUES  SUBSC & MEM,11104,11104,11104
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,191,TELEPHONE-RELOCATIONS,14326,14326,14326
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,270,LOCAL TRANSPORTATION,17838,17838,15600
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,160,REPAIR/MAINT PROPERTY,37480,37480,25709
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,150,PUBLICATN & REPRODT-OUT,50058,50058,30000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,229,TRAN/EXP ALLOWANCE,36000,36000,36000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,15,SCHEDULE SALARY ADJ,37401,37401,36065
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,130,POSTAGE,71606,71606,50000
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,162,REPAIR/MAINT EQUIPMENT,61101,61101,61101
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,9651,REIMREIMB CORP,0,0,419126
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,44,FRINGE BENEFITS,2189043,2189043,2738147
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,140,PROF & TECHNICAL SERVICES,6798688,6798688,4754502
GRANTS,0P40,AREA AGING PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2904,2904 - AREA PLAN ON AGING - FEDERAL,5,SALARIES AND WAGES - ON PAYROLL,5757442,5931779,7275695
GRANTS,0P41,AGING PRIVATE GRANTS,50,FAMILY AND SUPPORT SERVICES,2816,2816 - SENIOR FITNESS PRIVATE,140,PROF & TECHNICAL SERVICES,146000,146000,295000
GRANTS,0P41,AGING PRIVATE GRANTS,50,FAMILY AND SUPPORT SERVICES,2901,2901 - CHICAGO FUND SUPPORT - SENIOR,140,PROF & TECHNICAL SERVICES,430000,430000,215000
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,6,SALARY PROVISION,120000,120000,0
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,245,REIMBURSEMENT TRAVELERS,2000,2000,2000
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,453,VEHICLES-POLICE,1560000,1560000,20000
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,44,FRINGE BENEFITS,0,0,33990
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,340,MATERIAL AND SUPPLIES,54000,54000,39242
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,5,SALARIES AND WAGES - ON PAYROLL,0,0,90768
GRANTS,0P42,CPD JAG,57,DEPARTMENT OF POLICE,2946,2946 - BYRNE MEMORIAL JUSTICE ASSIST,135,DELEGATE AGENCIES,1714000,1714000,1714000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2929,2929 - TRANSIT SECURITY 2008,245,REIMBURSEMENT TRAVELERS,11000,11000,11000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2929,2929 - TRANSIT SECURITY 2008,140,PROF & TECHNICAL SERVICES,5796000,5796000,214000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2929,2929 - TRANSIT SECURITY 2008,445,TECH AND SCIENTIFIC EQUIP,0,0,3132000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2929,2929 - TRANSIT SECURITY 2008,20,OVERTIME,8918000,8918000,5443000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,340,MATERIAL AND SUPPLIES,4500,4500,4500
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,15,SCHEDULE SALARY ADJ,2029,2029,5165
