fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,154,For the Rental and Maintenance of Data Processing  Office Automation and Data Communications Hardware,0.00,0.00,2000.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,0.00,0.00,2030.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,0.00,0.00,1396.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,0.00,0.00,1448.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,0.00,0.00,300.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,0.00,0.00,200.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,0.00,0.00,200.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,350,Stationery and Office Supplies,0.00,0.00,100.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,968138.00,968138.00,749691.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,13350.00,13350.00,11119.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,20,Overtime,1000.00,1000.00,3000.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,710.00,710.00,610.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,2612.00,2612.00,2412.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,140,For Professional and Technical Services and Other Third Party Benefit Agreements,4729.00,4729.00,17477.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,149,For Software Maintenance and Licensing,4141.00,4141.00,4141.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,154,For the Rental and Maintenance of Data Processing  Office Automation and Data Communications Hardware,22257.00,22257.00,20257.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,20084.00,20084.00,18054.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,159,Lease Purchase Agreements for Equipment and Machinery,206.00,206.00,206.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,162,Repair/Maintenance of Equipment,65.00,65.00,65.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,166,Dues  Subscriptions and Memberships,1610.00,1610.00,1610.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,12843.00,12843.00,11447.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,6205.00,6205.00,4757.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,189,Telephone - Non-Centrex Billings,5258.00,5258.00,5258.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,245,Reimbursement to Travelers,558.00,558.00,558.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,1615.00,1615.00,1315.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,2156.00,2156.00,1956.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,1885.00,1885.00,1685.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,348,Books and Related Material,1082.00,1082.00,1082.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,350,Stationery and Office Supplies,2912.00,2912.00,2812.00
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,700,Contingencies,1201.00,1201.00,1201.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,5,Salaries and Wages - on Payroll,2888562.00,2888562.00,2933253.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,15,Schedule Salary Adjustments,9450.00,9450.00,18309.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,39,For the Employment of Students as Trainees,37500.00,37500.00,37500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,130,Postage,1500.00,1500.00,1500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,140,For Professional and Technical Services and Other Third Party Benefit Agreements,5500.00,5500.00,5500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,152,Advertising,1000.00,1000.00,1000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,157,Rental of Equipment and Services,10000.00,10000.00,10000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,169,Technical Meeting Costs,1000.00,1000.00,1000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,181,Mobile Communication Services,4986.00,4986.00,4986.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,190,Telephone - Non-Centrex Billings,8000.00,8000.00,8000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,197,Telephone - Maintenance and Repair of Equipment and Voicemail,2000.00,2000.00,2000.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,245,Reimbursement to Travelers,500.00,500.00,500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,270,Local Transportation,500.00,500.00,500.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,348,Books and Related Material,400.00,400.00,400.00
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,350,Stationery and Office Supplies,5400.00,5400.00,5400.00
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,5,Salaries and Wages - on Payroll,124080.00,124080.00,124080.00
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,5,Salaries and Wages - on Payroll,96720.00,96720.00,96720.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,5,Salaries and Wages - on Payroll,8952604.00,8952604.00,8949363.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,15,Schedule Salary Adjustments,7386.00,7386.00,16835.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,130,Postage,4692.00,4692.00,4786.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,138,For Professional Services for Information Technology Maintenance,1892301.00,1892301.00,2538419.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,140,For Professional and Technical Services and Other Third Party Benefit Agreements,803255.00,803255.00,2455910.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,149,For Software Maintenance and Licensing,6554674.00,6554674.00,7124796.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,162,Repair/Maintenance of Equipment,998491.00,998491.00,817560.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,166,Dues  Subscriptions and Memberships,249.00,249.00,349.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,169,Technical Meeting Costs,62700.00,62700.00,62700.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,181,Mobile Communication Services,32242.00,32242.00,32400.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,190,Telephone - Non-Centrex Billings,25770.00,25770.00,31000.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,196,Data Circuits,748170.00,748170.00,748170.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,197,Telephone - Maintenance and Repair of Equipment and Voicemail,7902.00,7902.00,9505.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,245,Reimbursement to Travelers,3150.00,3150.00,3150.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,270,Local Transportation,900.00,900.00,900.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,340,Material and Supplies,14200.00,14200.00,10300.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,348,Books and Related Material,2700.00,2700.00,2400.00
LOCAL,0100,Corporate Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,350,Stationery and Office Supplies,6750.00,6750.00,6750.00
LOCAL,0200,Water Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,138,For Professional Services for Information Technology Maintenance,1234000.00,1234000.00,934000.00
LOCAL,0200,Water Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,139,For Professional Services for Information Technology Development,869500.00,869500.00,820000.00
LOCAL,0200,Water Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,140,For Professional and Technical Services and Other Third Party Benefit Agreements,4088393.00,4088393.00,4477958.00
LOCAL,0200,Water Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,149,For Software Maintenance and Licensing,123827.00,123827.00,123827.00
LOCAL,0200,Water Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,197,Telephone - Maintenance and Repair of Equipment and Voicemail,21593.00,21593.00,21593.00
LOCAL,0346,Library Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,5,Salaries and Wages - on Payroll,1140487.00,1140487.00,1156922.00
LOCAL,0346,Library Fund,6,Department of Innovation and Technology,2005,Department of Innovation and Technology,15,Schedule Salary Adjustments,2278.00,2278.00,6939.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,5,Salaries and Wages - on Payroll,6352786.00,6352786.00,6431073.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,17,Salary Allowance for Three Full-Time Salaried Employees Per Alderman,9270500.00,9270500.00,9270500.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,39,For the Employment of Students as Trainees,140000.00,140000.00,175000.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,181,Mobile Communication Services,1350.00,1350.00,1350.00
LOCAL,0100,Corporate Fund,15,City Council,2005,City Council,190,Telephone - Non-Centrex Billings,66000.00,66000.00,66000.00
