year,functional_category,department_number,appropriation_account,fund_type,fund_code,amount
2011,City Development,23,0150,LOCAL,0355,10246.0
2011,City Development,23,0150,LOCAL,0355,36000.0
2011,City Development,23,0152,LOCAL,0355,24120.0
2011,City Development,23,0153,GRANTS,0868,1682797.0
2011,City Development,23,0153,LOCAL,0355,9000.0
2011,City Development,23,0153,LOCAL,0355,18288.0
2011,City Development,23,0157,LOCAL,0355,7200.0
2011,City Development,23,0157,LOCAL,0355,15600.0
2011,City Development,23,0159,LOCAL,0355,60000.0
2011,City Development,23,0161,LOCAL,0355,70000.0
2011,City Development,23,0166,LOCAL,0355,3276.0
2011,City Development,23,0172,LOCAL,0355,125896.0
2011,City Development,23,0172,LOCAL,0355,179758.0
2011,City Development,23,0181,LOCAL,0355,12690.0
2011,City Development,23,0181,LOCAL,0355,20000.0
2011,City Development,23,0189,LOCAL,0355,10000.0
2011,City Development,23,0190,LOCAL,0355,33000.0
2011,City Development,23,0190,LOCAL,0355,114000.0
2011,City Development,23,0191,LOCAL,0355,4000.0
2011,City Development,23,0197,LOCAL,0355,4500.0
2011,City Development,23,0197,LOCAL,0355,22200.0
2011,City Development,23,0229,LOCAL,0355,2948.0
2011,City Development,23,0245,LOCAL,0355,720.0
2011,City Development,23,0340,LOCAL,0355,9171.0
2011,City Development,23,0350,LOCAL,0355,10481.0
2011,City Development,23,0350,LOCAL,0355,12422.0
2011,City Development,23,0900,LOCAL,0355,59400.0
2011,City Development,23,0999,GRANTS,0213,136000.0
2011,City Development,23,0999,GRANTS,0865,500000.0
2011,City Development,23,9188,LOCAL,0355,6462775.0
2011,City Development,23,9288,LOCAL,0355,674000.0
2011,City Development,23,9438,LOCAL,0355,20500.0
2011,City Development,23,9438,LOCAL,0355,100000.0
2011,City Development,23,9440,LOCAL,0355,6743.0
2011,City Development,23,9801,LOCAL,0100,500000.0
2011,City Development,23,9801,LOCAL,0355,195000.0
2011,City Development,23,9803,LOCAL,0355,1480000.0
2011,City Development,23,9805,LOCAL,0355,8043470.0
2011,City Development,23,9807,LOCAL,0355,4960000.0
2011,City Development,23,9809,LOCAL,0355,104000.0
2011,City Development,23,9811,LOCAL,0355,55000.0
2011,City Development,23,9813,LOCAL,0355,330000.0
2011,Finance & Administration,25,0005,LOCAL,0100,2413791.0
2011,Finance & Administration,25,0005,LOCAL,0300,3769272.0
2011,Finance & Administration,25,0015,LOCAL,0100,16142.0
2011,Finance & Administration,25,0015,LOCAL,0300,31044.0
2011,Finance & Administration,25,0020,LOCAL,0100,40000.0
2011,Finance & Administration,25,0020,LOCAL,0300,55000.0
2011,Finance & Administration,25,0030,LOCAL,0100,-123921.0
2011,Finance & Administration,25,0030,LOCAL,0300,-111420.0
2011,Finance & Administration,25,0039,LOCAL,0300,170000.0
